scenario,n_old,seed,repeat,features,shrink,touch,q_touch,edges_updated,edges_total,delta_error,weight_error,symmetry_error,batch_delta_error,batch_weight_error,correctness_pass,inc_delta_ms,inc_bookkeeping_ms,inc_w_ms,inc_total_ms,batch_bookkeeping_ms,batch_delta_ms,batch_w_ms,batch_total_ms,input_payload_bytes
ring_control,256,1,4,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023667,0.070042,0.021666,0.115375,0.077792,0.1685,0.150125,0.396417,40452
ring_enemy,256,1,0,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021209,0.055916,0.761334,0.838459,0.062542,0.159875,0.140208,0.362625,40452
ring_enemy,256,1,1,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.022667,0.065958,0.759584,0.848209,0.067208,0.179625,0.142042,0.388875,40452
ring_enemy,256,1,2,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.024333,0.058542,0.788875,0.87175,0.078625,0.169333,0.141917,0.389875,40452
ring_enemy,256,1,3,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.025083,0.066625,0.782084,0.873792,0.062333,0.1695,0.137625,0.369458,40452
ring_enemy,256,1,4,16,128,129,258,130,257,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021709,0.056833,0.791167,0.869709,0.067834,0.178708,0.141958,0.3885,40452
star_leaf,256,1,0,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.01825,0.059292,0.015917,0.093459,0.0605,0.156041,0.126375,0.342916,40442
star_leaf,256,1,1,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.021209,0.061375,0.014625,0.097209,0.060709,0.161333,0.128208,0.35025,40442
star_leaf,256,1,2,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.023125,0.057541,0.014417,0.095083,0.091208,0.197,0.132167,0.420375,40442
star_leaf,256,1,3,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.019167,0.058208,0.013958,0.091333,0.05875,0.160666,0.128542,0.347958,40442
star_leaf,256,1,4,16,0,2,3,2,256,0.0,1.1102230246251565e-16,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.0185,0.056458,0.014083,0.089041,0.068,0.170625,0.141416,0.380041,40442
star_hub,256,1,0,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.019292,0.107625,0.658958,0.785875,0.06275,0.159958,0.132667,0.355375,40442
star_hub,256,1,1,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.022083,0.06175,0.654875,0.738708,0.069459,0.174,0.137583,0.381042,40442
star_hub,256,1,2,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.018542,0.083667,0.742291,0.8445,0.0725,0.177875,0.143292,0.393667,40442
star_hub,256,1,3,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.020875,0.060084,0.664125,0.745084,0.070542,0.198708,0.139792,0.409042,40442
star_hub,256,1,4,16,0,2,257,256,256,0.0,0.0,0.0,3.552713678800501e-15,1.1102230246251565e-16,True,0.0205,0.058292,0.637333,0.716125,0.074709,0.172708,0.139458,0.386875,40442
ring_control,256,2,0,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.017917,0.056792,0.016708,0.091417,0.060083,0.157292,0.137,0.354375,40452
ring_control,256,2,1,16,0,2,4,3,257,0.0,1.1102230246251565e-16,0.0,1.7763568394002505e-15,1.1102230246251565e-16,True,0.020666,0.058584,0.017583,0.096833,0.075125,0.160166,0.135542,0.370833,40452
